type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.baggage,departure.gate,arrival.gate,arrival.delay,departure.terminal,error
departure,active,pqc,vvpq,2023-11-01t15:30:00.000,icn,rksi,1,2023-11-01t22:45:00.000,,a1,a1,2974,a12974,a12974,vietjet air,vj,vjc,974,vj974,vjc974,,,,,,,,,,10,,113,,,
departure,active,pqc,vvpq,2023-11-01t15:30:00.000,icn,rksi,1,2023-11-01t22:45:00.000,flexflight,w2,fxt,4974,w24974,fxt4974,vietjet air,vj,vjc,974,vj974,vjc974,,,,,,,,,,10,,113,,,
departure,active,pqc,vvpq,2023-11-01t15:30:00.000,icn,rksi,1,2023-11-01t22:45:00.000,,h1,h1,4539,h14539,h14539,vietjet air,vj,vjc,974,vj974,vjc974,,,,,,,,,,10,,113,,,
departure,active,pqc,vvpq,2023-11-01t15:30:00.000,icn,rksi,1,2023-11-01t22:45:00.000,vietjet air,vj,vjc,974,vj974,vjc974,,,,,,,,,,,,,,,,10,,113,,,
departure,active,pqc,vvpq,2023-11-01t15:35:00.000,han,vvnb,t1,2023-11-01t17:45:00.000,,a1,a1,2456,a12456,a12456,vietjet air,vj,vjc,456,vj456,vjc456,2023-11-01t15:35:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t15:35:00.000,han,vvnb,t1,2023-11-01t17:45:00.000,flexflight,w2,fxt,4456,w24456,fxt4456,vietjet air,vj,vjc,456,vj456,vjc456,2023-11-01t15:35:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t15:35:00.000,han,vvnb,t1,2023-11-01t17:45:00.000,,h1,h1,4143,h14143,h14143,vietjet air,vj,vjc,456,vj456,vjc456,2023-11-01t15:35:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t15:35:00.000,han,vvnb,t1,2023-11-01t17:45:00.000,vietjet air,vj,vjc,456,vj456,vjc456,,,,,,,2023-11-01t15:35:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t17:10:00.000,sgn,vvts,1,2023-11-01t18:10:00.000,,a1,a1,2328,a12328,a12328,vietjet air,vj,vjc,328,vj328,vjc328,2023-11-01t17:10:00.000,4.0,2023-11-01t17:13:00.000,2023-11-01t17:13:00.000,2023-11-01t17:13:00.000,2023-11-01t17:54:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t17:10:00.000,sgn,vvts,1,2023-11-01t18:10:00.000,flexflight,w2,fxt,4328,w24328,fxt4328,vietjet air,vj,vjc,328,vj328,vjc328,2023-11-01t17:10:00.000,4.0,2023-11-01t17:13:00.000,2023-11-01t17:13:00.000,2023-11-01t17:13:00.000,2023-11-01t17:54:00.000,,,,,,,,,
